admet_property,original,isostere,delta_isostere_minus_original
molecular_weight,405.43,406.42,0.9900000000000091
logp,-0.01,-0.62,-0.61
hba,7.0,8.0,1.0
hbd,3.0,3.0,0.0
lipinski_violations,0.0,0.0,0.0
qed_score,0.444,0.415,-0.029000000000000026
tpsa,139.03,151.92,12.889999999999986
bioavailability,0.6824250221252441,0.6637684106826782,-0.018656611442565918
hia_absorption,0.3226400315761566,0.4165666997432709,0.09392666816711426
caco2_permeability,-6.1106672286987305,-6.295061111450195,-0.18439388275146484
bbb_penetration,0.1464026272296905,0.0948642641305923,-0.05153836309909819
plasma_protein_binding,60.95665740966797,45.43807601928711,-15.51858139038086
volume_distribution,-2.163717746734619,-1.0218350887298584,1.1418826580047607
half_life,-7.437592506408691,-1.868496298789978,5.569096207618713
herg_blocker,0.0515589825809001,0.0642206966876983,0.012661714106798193
ames_mutagenicity,0.2033693343400955,0.0850038006901741,-0.11836553364992139
dili_hepatotoxicity,0.7288032174110413,0.8154962658882141,0.08669304847717285
